번호,구조일자,종류,품종,시군구,발생장소
1635,2020-07-02,고양이,코리안숏헤어,중구,대사동 248-217번지 주변
1636,2020-07-02,고양이,코리안숏헤어,중구,대사동 248-217번지 주변
1637,2020-07-02,개,샤모에드,중구,오류동 삼성@ 1동 주변
1638,2020-07-02,고양이,코리안숏헤어,유성,대정동 모다아울렛 주변
1639,2020-07-02,고양이,코리안숏헤어,유성,학하남로 10번길 주변
1640,2020-07-02,고양이,코리안숏헤어,대덕,신탄진동 138-30번지 주변
1641,2020-07-02,고양이,코리안숏헤어,대덕,오정동 한남대 주변
1642,2020-07-02,개,포메라이언,중구,대흥동 402-1번지 동건참좋은@ 주변
1643,2020-07-02,고양이,코리안숏헤어,서구,월평동 가람@ 인근
1644,2020-07-02,고양이,코리안숏헤어,서구,관저동 풀하우스 인근
1645,2020-07-02,개,진도,서구,봉산중학교 인근
1646,2020-07-02,개,스피츠,동구,동부소방서 인근
1647,2020-07-02,고양이,코리안숏헤어,동구,낭월동 대신육가공 인근
1648,2020-07-02,개,진도,동구,대봉1길 인근
1649,2020-07-02,개,믹스,대덕,석봉동 석봉주민센터 주변
1650,2020-07-02,개,믹스,중구,유천동 171-33번지 주변
1651,2020-07-03,고양이,코리안숏헤어,유성,유성대로 6541번길 1 우진주유소 주변
